,ticker,yearReport,lengthReport,Net Inventories,Other current assets,Investment in properties,Other non-current assets,Other Reserves,Other Reserves,Other Reserves,Other Reserves,MINORITY INTERESTS,Held-to-Maturity Securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Foreign Currency Difference reserve,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),LONG-TERM ASSETS (Bn. VND),TOTAL RESOURCES (Bn. VND),Undistributed earnings (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Capital and reserves (Bn. VND),OWNER'S EQUITY(Bn.VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Long-term liabilities (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Current liabilities (Bn. VND),LIABILITIES (Bn. VND),TOTAL ASSETS (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Long-term investments (Bn. VND),Fixed assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term loans receivables (Bn. VND),Long-term trade receivables (Bn. VND)
0,AAA,2024,2,890797021045,169908947367,1340350302192,881415303958,13177404323,18751291534,13177404323,18751291534,585026551130,1318382250000,1343884550537,0,1773147161266,143425254287,35961955481,6152632538191,2188093990715,1318382250000,1585450329064,655264859253,106738000000,891770591173,0,6115223219397,12267855757588,782172256083,80481616464,3822744960000,3822744960000,6162262358832,6162262358832,0,547451539393,2497680318851,154634275729,2510129835339,3607913079905,6105593398756,12267855757588,44736658042,823302978572,0,1343884550537,1916572415553,10409193733,343300250000,353709443733
1,AAA,2024,1,604260563714,155198372399,1358591960902,879836245565,13177404323,18751291534,13177404323,18751291534,586511698011,197451050000,1353097235679,0,1817949962512,146647395554,24463650545,5504717598034,2017366509375,197451050000,2530441102546,698841814064,759308754048,605617802847,0,6181900412655,11686618010689,693519845467,80481616464,3822744960000,3822744960000,6063596790161,6063596790161,0,329579423872,2211871777139,115433010516,2382591097052,3411149443389,5623021220528,11686618010689,46267726588,816694523674,0,1353097235679,1964597358066,6590980260,398934150000,405525130260
2,AAA,2023,4,760810693155,180357192914,1317371277837,873382788410,13177404323,18751291534,13177404323,18751291534,571368089756,1079609986000,1328045371157,0,1855648573721,91253449512,23955625899,5688336332807,2435058282465,1079609986000,1232500178273,343902777299,63067844806,762527847268,0,5846639913087,11534976245894,565860941388,80481616464,3822744960000,3822744960000,5920286253181,5920286253181,0,358670895783,1867806173599,144718492819,2625493361173,3746883819114,5614689992713,11534976245894,57203184735,801064621258,0,1328045371157,1946902023233,5143119278,77154150000,84392803593
3,AAA,2023,3,690502336003,164609122474,468794498332,827567134188,13177404323,18751291534,13177404323,18751291534,772208164353,1391367436000,1317954806265,0,1906790781853,91688105822,22765606995,5858655780805,1689712971535,1391367436000,1922463914793,317819969095,296549690310,704118740818,0,5751606062962,11610261843767,893732261191,80481616464,3822744960000,3822744960000,6447807628677,6447807628677,0,1099098717329,1956162311413,118527164622,2055450182038,3206291903677,5162454215090,11610261843767,58981737219,762222868167,0,1317954806265,1998478887675,9859920408,143345750000,153205670408
4,AAA,2023,2,1559082860922,227354510109,477372811811,900076803830,13177404323,18751291534,13177404323,18751291534,770159411296,1506625000000,1306032417107,0,1969854479292,92796597268,17958278261,6040107176096,1367496215370,1506625000000,1379548589695,329637197645,59897289636,1582848352787,0,5189927737183,11230034913279,797055737811,80481616464,3822744960000,3822744960000,6344275023506,6344275023506,0,1143790699303,1289320383091,266498373972,2103986867520,3596439506682,4885759889773,11230034913279,60714229541,834027705706,0,1306032417107,2062651076560,7987139470,111910000000,119897139470
5,AAA,2023,1,1135368241370,166221449191,487328076836,301051591601,13177404323,44744930000,13177404323,44744930000,660472823778,697156000000,1552738207943,0,1941446709496,76556757805,11968123060,5674658316737,1827056484454,697156000000,1848856141722,283889830619,385493358986,1154741772552,0,5227312943630,10901971260367,773594528190,80481616464,3822744960000,3822744960000,6231130709632,6231130709632,0,1228962193450,1405447618242,145738903079,2166459218015,3265392932493,4670840550735,10901971260367,31449319555,265933929708,0,1582738207943,2018003467301,15734185186,51940160000,137514792584
6,AAA,2022,4,1776319126153,203662788365,497283341861,308638603479,13177404323,44744930000,13177404323,44744930000,651740713232,436156000000,1464090455165,0,2000032504609,77426239462,13191269710,5623485000285,1655456757815,436156000000,1551890327952,256752902117,176995600000,1846699548793,0,5157831431634,10781316431919,717576194474,80481616464,3822744960000,3822744960000,6167603412020,6167603412020,0,1242368724012,1418463939413,147950965344,1887821444978,3195249080486,4613713019899,10781316431919,32469590996,270203822136,0,1494090455165,2077458744071,15735626640,940160000,86913682992
7,AAA,2022,3,2158635136318,237430594304,499800506889,298391234547,13177404323,44744930000,13177404323,44744930000,781210013532,436156000000,1352054558093,0,1853937153754,78303471792,11516709652,6138746931264,1353251366894,436156000000,1953273833748,330166643975,438869500000,2158635136318,0,5139248523054,11277995454318,817221849987,80481616464,3822744960000,3822744960000,6395043807775,6395043807775,0,1385773140280,1556860857890,137717980454,2021311451391,3326090788653,4882951646543,11277995454318,33489862437,260202008337,17432479452,1399487037545,1932240625546,15933076028,20000000000,107195713558
8,AAA,2022,2,1910442387300,202408720201,509061137434,307920744143,13177404323,44744930000,13177404323,44744930000,718777866614,461156000000,1174267007810,0,1915750385370,78230969406,-35843448,5808222903667,1020615568519,461156000000,2213600227647,294306624209,279288799999,1925460191272,0,5119501983546,10927724887213,756325262940,80481616464,3264344960000,3264344960000,5590407320710,5590407320710,0,1159642207370,1341030797763,139711640962,2390694768419,3996286768740,5337317566503,10927724887213,34510133879,269073386524,123752479452,1328019487262,1993981354776,15926573228,0,85387374158
9,AAA,2022,1,1042196865390,160768657709,518130196694,295194174127,13177404323,44744930000,13177404323,44744930000,558394575559,461156000000,896004144880,0,1978738629053,77633987611,-12643337341,5562193645295,1549911273413,461156000000,2348160848783,663295939185,246463950000,1042196865390,0,4914883371635,10477077016930,712807348143,80481616464,3264344960000,3264344960000,5373898620965,5373898620965,0,1164711621851,1264736635126,193173188077,2408188617527,3838441760839,5103178395965,10477077016930,35530405320,257137750184,17432479452,943436624332,2056372616664,16438208698,13390050000,232828224110
10,AAA,2021,4,965573567309,137430492683,526347470213,325676975271,13177404323,26544930000,13177404323,26544930000,646409327235,436156000000,521914270071,0,2022419512484,78420099468,-9061592885,5336715803039,1987170712682,436156000000,1810385030365,372650796035,84906400000,965573567309,0,4654916125530,9991631928569,723894567551,80481616464,3264344960000,3264344960000,5458382336505,5458382336505,0,1175997845832,1272765023158,147812623494,2172872598928,3260484568906,4533249592064,9991631928569,36550676761,287014288216,17995000000,569909270071,2100839611952,16438046128,44699588400,278966433205
11,AAA,2021,3,1024271430739,181639622468,423764703921,295536442376,13177404323,26544930000,13177404323,26544930000,564346517617,11156000000,440419675921,0,2088805033654,79054356020,-5832435486,5461324349888,1439605995924,11156000000,2804651300757,890965927240,633444990000,1024271430739,0,4495790870966,9957115220854,642001836089,80481616464,3264344960000,3264344960000,5297721952824,5297721952824,0,766558966756,857880873371,221778116269,2445966609318,3801512394659,4659393268030,9957115220854,37570948202,257445687452,16747330798,487167006719,2167859389674,17126470178,97001119400,193680938752
12,AAA,2021,2,1131960274006,191713326577,431815404971,314088690352,13177404323,26544930000,13177404323,26544930000,454318963753,11156000000,431804753841,0,2154372837857,79853646242,-2343905467,5467617108516,2214209755238,11156000000,1918577752695,702975473222,151570190000,1131960274006,0,4174692972811,9642310081327,666244197560,80481616464,2967599740000,2967599740000,5215425290450,5215425290450,0,614304967906,716849756448,139624271691,2790701013738,3710035034429,4426884790877,9642310081327,38591219644,275406853401,16747330798,478552084639,2234226484099,17129077248,94014542000,181186557642
13,AAA,2021,1,1166690129425,184496577358,439985635641,272243603308,13177404323,26544930000,13177404323,26544930000,474808399771,176256000000,403846323663,0,2188895487307,78958571361,-1492813789,5279713527496,967769374300,176256000000,2784501446413,697254117869,947837432790,1166690129425,0,3899671614948,9179385142444,624461925263,80481616464,2217599740000,2217599740000,4127655391361,4127655391361,0,823370791373,937313065214,132191581438,3141542877800,4114416685869,5051729751083,9179385142444,14792187644,257354754437,17353094158,491199417821,2267854058668,17129667528,1400000000,60663433603
14,AAA,2020,4,946809379604,157754122056,447748684374,277269221328,13177404323,26544930000,13177404323,26544930000,426375132551,712600000000,401502809163,-478094158,2245284822658,79741790556,-1007294337,4451050828524,963717122052,713600000000,1669170204812,790942957319,42643890561,947201357809,0,4118563089369,8569613917893,568916257156,80481616464,2217599740000,2217599740000,4024161975486,4024161975486,0,617146847843,772617081041,106523885106,2943359269628,3772834861366,4545451942407,8569613917893,15191976499,261846885299,17353094158,533377809163,2325026613214,17129962668,114055000000,173910564469
15,AAA,2020,3,828614538583,198386586846,406687571620,302699699131,13177404323,0,13177404323,0,426501391236,720904657534,25825561339,-1608248000,2302835398139,80269570682,-765240953,4205633058730,238982685166,720904657534,2218744590601,638543291761,728622625208,828614538583,0,4000543436017,8206176494747,643354324705,80481616464,2111999760000,2111999760000,3966823445104,3966823445104,0,1297214944627,1443765756606,60862829148,2170404392079,2795587293037,4239353049643,8206176494747,15904880326,286794423615,265945943589,417733256928,2383104968821,17614940288,138250000000,155864940288
16,AAA,2020,2,897444507113,134944223806,239089489059,188794058791,13177404323,0,13177404323,0,234344872256,727670657534,24414637509,-2555047679,1906205638238,80658379979,-1104349379,4344553691137,267894557509,727670657534,2316599745175,678970729014,898492404396,897444507113,0,3442031148277,7786584839414,670586342115,80481616464,1711999760000,1711999760000,3241598335108,3241598335108,0,1225279196361,1370417571853,70965720591,2459494332797,3174568932453,4544986504306,7786584839414,0,188662388275,47257112000,182496701830,1986864018217,19095450918,316150000000,335245450918
17,AAA,2020,1,1117690136735,153352390191,234318421562,193251876387,13177404323,0,13177404323,0,305919884973,840336028767,19038469641,0,1959708317045,81425360825,-141061193,4556885712745,288449896598,840336028767,2157057260454,666946499238,656952666849,1117690136735,0,3211346013854,7768231726599,597394578048,80481616464,1711999760000,1711999760000,3240944871944,3240944871944,0,1331854827553,1462968689636,101266475990,2422782999176,3064318165019,4527286854655,7768231726599,0,193062084803,0,87418469641,2041133677870,20667470288,303850000000,324517470288
18,AAA,2019,4,1226217495156,127636334970,222816109964,198463960700,13177404323,0,13177404323,0,331158506744,1134131082192,15179449802,0,1999153049828,81953526237,-337847636,4974037160426,349695680985,1193801102192,2076686547123,633032388359,536662966849,1226569964860,0,3016093225780,7990130386206,610562025962,67258859051,1711999760000,1711999760000,3265931397773,3265931397773,0,1374510124549,1498570402350,98696555635,2397086597833,3225628586083,4724198988433,7990130386206,0,198274060283,0,123559449802,2081106576065,20667470288,75700000000,96367470288
19,AAA,2019,3,992708266118,146343208967,110474976135,164897974729,13177404323,0,13177404323,0,334751095375,1111500237504,7800000000,0,2044007044890,82706204633,-499954938,5114262229085,232025439569,1111500237504,2631685076927,892272466349,281721152000,992708266118,0,2823801018553,7938063247638,551656902540,67258859051,1711999760000,1711999760000,3210456755680,3210456755680,0,1443516244552,1579297072623,79228368836,2334836538044,3148309419335,4727606491958,7938063247638,0,164489650772,0,46180000000,2126713249523,20667470288,0,20667470288
20,AAA,2019,2,1126772362258,168619294599,95658391772,163218545702,13177404323,0,13177404323,0,324702125936,1096424484079,4800000000,0,2061490503434,83461540679,-585951213,5566536029038,271392032211,1096424484079,2903327855891,912663107595,497445582500,1127872132637,0,2784771683883,8351307712921,573556482848,67258859051,1711999760000,1711999760000,3222221370274,3222221370274,0,1561978272487,1674107221290,36648061601,2629631283217,3454979121357,5129086342647,8351307712921,0,162293980769,0,43180000000,2144952044113,20936778548,0,20936778548
21,AAA,2019,1,1524049539243,154587513436,0,53266028773,13177404323,0,13177404323,0,328000004807,733640155312,0,0,2065418147395,84110321169,-101979364,5617907775211,482425462169,733640155312,2723205105051,732797553503,486330323580,1524049539243,0,2364164973886,7982072749097,481202143830,57882870224,1711999760000,1711999760000,3124272893149,3124272893149,0,1320454387728,1333645821555,77297401655,2627375271180,3524154034393,4857799855948,7982072749097,0,52689694735,0,38380000000,2149528468564,20586202467,0,20586202467
