,time,open,high,low,close,volume
0,2013-01-02,415.5,419.05,414.41,418.35,64288223
1,2013-01-03,420.68,420.68,413.68,419.27,99824757
2,2013-01-04,418.75,426.48,417.5,426.06,64852320
3,2013-01-07,428.84,434.64,426.86,434.19,78123432
4,2013-01-08,437.25,447.16,437.15,447.16,119101143
5,2013-01-09,447.16,457.75,442.26,448.77,134774030
6,2013-01-10,447.99,460.12,444.08,460.12,79394578
7,2013-01-11,468.39,469.16,461.74,462.69,75120558
8,2013-01-14,458.08,462.08,455.51,458.97,69545410
9,2013-01-15,459.13,461.42,455.93,461.42,88782010
10,2013-01-16,462.17,470.34,462.17,465.25,96572500
11,2013-01-17,465.66,466.55,456.76,456.76,95829037
12,2013-01-18,458.0,459.82,450.28,454.16,84204830
13,2013-01-21,453.91,456.34,447.79,447.79,57427982
14,2013-01-22,449.04,450.8,441.24,442.85,67369185
15,2013-01-23,443.96,447.79,440.48,443.37,50605794
16,2013-01-24,444.34,452.4,444.19,452.4,49810670
17,2013-01-25,455.25,468.09,455.25,468.09,85957646
18,2013-01-28,474.27,485.67,474.27,479.6,106705176
19,2013-01-29,477.6,484.34,476.33,484.01,88110620
20,2013-01-30,485.72,490.89,482.76,487.6,83263865
21,2013-01-31,484.04,485.19,479.79,479.79,80404000
22,2013-02-01,473.81,483.42,473.23,483.42,76844944
23,2013-02-04,486.74,488.96,482.38,482.38,56882646
24,2013-02-05,481.59,482.56,477.36,477.36,63406967
25,2013-02-06,479.62,488.62,479.62,488.36,65145778
26,2013-02-07,492.56,493.72,488.03,490.62,73005691
27,2013-02-08,491.85,495.72,489.64,494.03,60721820
28,2013-02-18,491.85,497.87,489.64,493.95,69423530
29,2013-02-19,493.4,495.39,490.33,490.78,104487830
30,2013-02-20,487.99,495.82,487.68,494.83,78546816
31,2013-02-21,494.83,497.7,476.73,476.73,123304854
32,2013-02-22,482.85,487.11,470.23,477.69,107354080
33,2013-02-25,481.32,483.97,478.3,483.69,48918683
34,2013-02-26,482.5,482.5,463.64,465.05,93966050
35,2013-02-27,466.14,467.5,459.64,465.72,71438583
36,2013-02-28,469.77,476.41,465.72,474.56,53252280
37,2013-03-01,475.46,480.39,475.46,477.15,55928480
38,2013-03-04,477.15,479.06,468.74,468.74,74460364
39,2013-03-05,467.36,467.84,461.61,462.12,59788012
40,2013-03-06,466.95,471.09,464.19,471.09,35460946
41,2013-03-07,470.73,472.54,466.63,466.63,46749302
42,2013-03-08,469.38,471.75,468.1,470.68,31769910
43,2013-03-11,471.35,476.79,469.78,476.5,56412996
44,2013-03-12,475.23,478.67,470.51,475.34,60257774
45,2013-03-13,476.43,478.05,471.85,473.18,50256480
46,2013-03-14,471.63,474.6,470.81,474.6,46721100
47,2013-03-15,474.71,481.35,474.45,481.35,74398480
48,2013-03-18,481.42,482.59,478.54,479.13,49143918
49,2013-03-19,477.87,482.21,477.55,480.48,35321780
50,2013-03-20,481.88,488.94,480.53,487.04,52324250
51,2013-03-21,488.64,494.57,488.43,491.79,55977482
52,2013-03-22,493.47,500.59,486.15,489.99,54548270
53,2013-03-25,491.76,495.64,488.55,493.57,37138887
54,2013-03-26,494.82,496.32,489.14,489.46,47035194
55,2013-03-27,489.22,492.46,485.34,491.26,38971970
56,2013-03-28,491.64,495.12,487.67,490.67,44669350
57,2013-03-29,486.96,492.96,483.5,491.04,38988610
58,2013-04-01,490.75,505.81,489.9,505.81,54625380
59,2013-04-02,507.26,514.1,507.22,509.43,70263872
60,2013-04-03,507.31,511.35,502.38,505.93,57120710
61,2013-04-04,505.54,506.63,497.35,497.35,52179748
62,2013-04-05,501.16,503.36,497.83,502.58,48746281
63,2013-04-08,505.0,507.75,501.91,506.66,52180952
64,2013-04-09,505.09,512.85,504.16,510.49,60756650
65,2013-04-10,512.15,518.46,496.5,496.5,69177120
66,2013-04-11,501.39,504.51,497.08,504.07,52044150
67,2013-04-12,504.75,505.9,490.82,494.27,52307920
68,2013-04-15,491.64,491.77,478.8,480.02,54830087
69,2013-04-16,474.99,479.97,466.56,478.07,58211457
70,2013-04-17,481.63,483.99,476.53,483.99,30050340
71,2013-04-18,483.99,483.99,471.1,473.21,38515650
72,2013-04-22,471.87,472.95,466.78,468.43,39686012
73,2013-04-23,470.59,475.48,469.13,473.69,34007430
74,2013-04-24,474.48,475.75,472.89,472.89,32854256
75,2013-04-25,474.94,477.8,474.29,476.59,35907210
76,2013-04-26,477.04,479.12,474.51,474.51,31271830
77,2013-05-02,474.54,476.42,472.16,473.02,25638410
78,2013-05-03,471.16,475.24,470.81,475.24,26289890
79,2013-05-06,478.94,488.32,478.94,488.32,51496065
80,2013-05-07,489.25,491.56,484.39,485.58,58060770
81,2013-05-08,486.74,488.04,483.03,485.07,63517286
82,2013-05-09,485.44,488.57,485.2,486.22,101096500
83,2013-05-10,488.1,490.76,484.75,486.1,85069833
84,2013-05-13,486.96,490.38,486.96,488.93,45288710
85,2013-05-14,486.94,487.45,480.79,483.85,46531841
86,2013-05-15,482.82,487.52,481.8,485.97,37545485
87,2013-05-16,486.0,491.44,485.28,490.34,49810572
88,2013-05-17,489.99,491.85,487.6,487.6,50053792
89,2013-05-20,487.71,492.96,485.42,492.27,48672677
90,2013-05-21,495.95,502.6,495.95,500.18,88739473
91,2013-05-22,503.18,504.68,501.44,502.23,66881258
92,2013-05-23,501.14,506.58,498.22,498.22,80016322
93,2013-05-24,498.87,503.6,495.96,500.24,62516175
94,2013-05-27,504.38,516.08,504.38,512.41,93328180
95,2013-05-28,515.3,517.97,512.81,516.33,87434346
96,2013-05-29,517.91,520.36,511.31,515.09,99722935
97,2013-05-30,517.18,521.45,513.68,521.45,75593610
98,2013-05-31,526.58,526.58,518.39,518.39,150130800
99,2013-06-03,518.3,521.35,516.64,517.03,75928063
100,2013-06-04,517.03,521.96,510.69,510.69,78925460
101,2013-06-05,512.43,514.64,508.86,514.64,56284750
102,2013-06-06,513.43,521.28,513.16,520.9,72252080
103,2013-06-07,523.21,527.97,523.19,527.97,74548104
104,2013-06-10,531.56,533.15,524.56,524.56,94171518
105,2013-06-11,524.89,525.68,520.94,521.95,68047473
106,2013-06-12,521.21,524.91,518.24,518.24,70558170
107,2013-06-13,518.28,519.54,510.07,515.09,62541629
108,2013-06-14,517.14,518.0,509.03,509.03,60674030
109,2013-06-17,510.52,511.23,498.31,498.52,75810190
110,2013-06-18,497.05,500.54,495.5,498.88,55766067
111,2013-06-19,501.58,504.11,500.61,503.37,43058375
112,2013-06-20,502.22,503.75,498.55,499.51,49534013
113,2013-06-21,497.3,501.25,495.23,498.84,94144650
114,2013-06-24,500.44,501.14,487.41,489.74,58308957
115,2013-06-25,487.04,488.55,466.78,473.02,86819654
116,2013-06-26,473.26,476.47,466.41,473.53,66675880
117,2013-06-27,476.33,482.95,475.0,482.95,46019883
118,2013-06-28,485.29,485.94,479.94,481.13,62412303
119,2013-07-01,478.98,482.03,475.26,480.04,35055382
120,2013-07-02,480.72,490.14,480.72,489.84,37835960
121,2013-07-03,489.81,492.93,487.11,487.35,45991406
122,2013-07-04,489.2,490.65,486.49,487.22,39430283
123,2013-07-05,488.08,489.99,485.22,485.66,38315360
124,2013-07-08,485.73,485.95,480.58,482.77,38644804
125,2013-07-09,484.01,484.05,483.39,485.5,29843561
126,2013-07-10,487.81,489.83,484.43,484.43,30641786
127,2013-07-11,484.37,485.44,482.11,484.47,35042005
128,2013-07-12,485.14,493.99,485.13,493.99,51846234
129,2013-07-15,496.12,498.32,492.95,494.1,43276256
130,2013-07-16,494.66,497.83,493.74,496.22,42316076
131,2013-07-17,496.42,497.96,493.37,497.5,42123800
132,2013-07-18,496.17,500.51,494.23,496.84,53151656
133,2013-07-19,499.64,505.38,499.28,503.76,48105537
134,2013-07-22,505.11,507.71,501.63,506.16,54393220
135,2013-07-23,506.16,508.64,504.22,504.29,53031692
136,2013-07-24,503.67,504.27,493.36,494.18,60419850
137,2013-07-25,493.75,495.85,491.71,491.78,42245350
138,2013-07-26,493.52,495.16,487.92,493.93,43407252
139,2013-07-29,493.81,494.36,489.98,485.69,32825920
140,2013-07-30,485.74,489.07,485.74,488.54,30658664
141,2013-07-31,488.67,490.86,487.1,491.85,41623310
142,2013-08-01,491.48,494.31,489.57,492.43,31501926
143,2013-08-02,494.61,495.71,493.02,494.66,26274120
144,2013-08-05,494.38,496.74,492.75,493.66,29581536
145,2013-08-06,492.66,496.56,491.91,496.56,34416970
146,2013-08-07,496.95,502.26,495.02,500.1,40447500
147,2013-08-08,499.61,503.51,497.05,498.22,28326350
148,2013-08-09,498.88,502.04,498.88,500.62,28096325
149,2013-08-12,501.35,501.39,497.53,499.46,31453181
150,2013-08-13,499.46,502.63,497.4,497.73,36519563
151,2013-08-14,498.51,503.89,496.35,503.57,35781109
152,2013-08-15,505.14,509.6,505.03,508.22,63488110
153,2013-08-16,508.22,510.22,505.48,507.79,60576180
154,2013-08-19,507.27,513.34,507.16,511.02,61779610
155,2013-08-20,509.06,510.59,504.11,504.81,65900790
156,2013-08-21,504.77,504.78,497.01,502.7,53623892
157,2013-08-22,499.91,503.92,494.4,496.12,53025024
158,2013-08-23,496.12,497.89,482.78,486.82,54165220
159,2013-08-26,485.26,490.54,478.59,490.54,43033115
160,2013-08-27,488.23,489.89,485.57,485.57,27831794
161,2013-08-28,481.91,482.48,470.29,473.3,69272775
162,2013-08-29,473.52,477.09,468.55,468.55,39338020
163,2013-08-30,469.64,472.7,462.13,472.7,35495698
164,2013-09-03,473.83,477.08,470.26,472.17,29193619
165,2013-09-04,472.77,476.42,469.3,471.45,69278295
166,2013-09-05,473.62,477.77,470.72,477.57,47477390
167,2013-09-06,479.18,480.55,475.16,480.03,45416779
168,2013-09-09,478.98,478.98,469.39,470.16,54930194
169,2013-09-10,470.16,475.62,470.16,474.53,28763775
170,2013-09-11,474.53,478.95,473.68,476.4,32168550
171,2013-09-12,474.97,477.25,474.96,475.59,32565556
172,2013-09-13,475.11,478.0,474.54,476.42,29065440
173,2013-09-16,478.32,478.7,473.97,475.57,38474360
174,2013-09-17,476.21,480.16,475.82,477.73,39152080
175,2013-09-18,478.65,479.43,473.52,474.26,39014181
176,2013-09-19,478.14,478.99,475.69,476.09,35571556
177,2013-09-20,476.12,477.19,474.7,477.19,84263650
178,2013-09-23,476.79,479.09,475.06,479.09,46167730
179,2013-09-24,478.88,483.78,478.85,482.82,82180107
180,2013-09-25,482.46,488.98,482.41,486.22,80657028
