,ticker,yearReport,lengthReport,Cash and cash equivalents,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Increase/Decrease in receivables,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Net increase/decrease in cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Depreciation and Amortisation,Operating profit before changes in working capital,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,"Collection of loans, proceeds from sales of debts instruments (Bn. VND)","Loans granted, purchases of debt instruments (Bn. VND)"
0,AAA,2024,2,2017366509375,-19436035413,0,0,-44363994548,42434224106,357594984555,357594984555,-286190999663,68501270137,68501270137,7943781367,-49111042138,-18131873861,0,-19141807949,307718161648,19809066533,0,0,1711495211246,-1374335447935,0,128311942806,42415538534,2188093990715,86460873829,246253849200,-161897844756,34259512218,-516565982153,0,337159763311,638068374880,-1046805091028
1,AAA,2024,1,2435058282483,0,0,0,-60920062337,37415239242,-465715173002,-465715173002,177706047827,308281803900,308281803900,-27804390855,-36779880432,-10445397963,0,-3366327198,177287743045,528233500,-33120000000,10000000000,1211587610415,-1485454686996,-10532850000,-417309594444,-382178664,2017366509375,91337486865,235411060768,-232275863255,80723292089,-310197410908,0,-284399926581,1063010085730,-1199063158972
2,AAA,2023,4,1689712971535,-8615650660,0,0,-86334887927,62673329448,597907657686,597907657686,-58402706875,567212443017,567212443017,-32749012751,-108293191308,-55968239888,0,-5009574698,1074052314732,64117964,-603975000000,0,1522961842298,-1650773058457,-23343500,748273013862,-2927702932,2435058282465,88896769206,169354939549,-181665649920,49726386229,-197944741211,0,-127834559659,722225720000,-184320315484
3,AAA,2023,3,1367496215370,-7776511050,0,0,-51721638458,48683673846,-242725869026,-242725869026,705005970756,297014231771,297014231771,3669156161,-36145502874,-695575853,0,-3172197230,911944442484,1155130364,-4748600000,0,1796927814677,-1882099216396,0,317692974181,4523781984,1689712971535,82899563127,188994228779,-375926041639,23132599559,-509080066584,0,-85171401719,359734310000,-512427464868
4,AAA,2023,2,1827056484454,7776511050,0,0,-53320370968,48655395994,399399558618,399399558618,-393922719770,15871558160,15871558160,138280404,-61947385261,-383262390,0,-5967343607,104747013227,5669990545,-46945861403,0,1520426312223,-1747016703620,-104000000,-466852682927,7292413843,1367496215370,79903010743,151558327073,-5244518525,42351595276,-344905304757,0,-226694391397,291517800000,-632254310650
5,AAA,2023,1,1642978052440,0,0,0,-44901416718,47183323669,-242087350041,-242087350041,705838019395,-36367958626,-36367958626,-9800532569,-39504358359,-2964523858,0,-14860374203,469101850478,2172727273,-74200000000,0,1562749667361,-1300227194324,0,185279463941,-1201031927,1827056484454,78929940763,108848928739,-14647760621,48327932760,-546344859574,0,262522473037,565507300000,-1073505058986
6,AAA,2022,4,1353251366894,-4669068884,0,0,-62383783157,61111899455,167848220205,167848220205,314319448458,99224101800,99224101800,-2565528178,-63741091449,-55084318179,0,-16900655418,428843232483,280000000,-78060000000,-77000000000,1680590002871,-1947195375732,0,300299447674,1905943247,1655456757815,78720592438,-14256944756,-15139349352,27047197404,138061588052,0,-266605372861,359298770000,-78365030000
7,AAA,2022,3,1020615568519,-2402271095,0,0,-24341529139,41938040098,383839543987,383839543987,-231234709781,-365320565207,-365320565207,14730217293,-30350467860,-1798257475,0,-8552348825,-56585840566,461976155,-91470298950,77000000000,1955219078912,-2082615105317,0,324955020786,7680777589,1353251366894,77044825156,182100747302,-6390393418,14161103970,-160818312243,669755200000,542359173595,39813550000,-194394250000
8,AAA,2022,2,1549911273413,2402271095,0,0,-41731937957,37562536383,176401068731,176401068731,-871308239634,234240687966,234240687966,19344545071,-46554809787,-23029627269,0,-4581686339,-310262152409,4288215488,-328965788845,0,2211111508981,-2254117427321,-152250000,-543889114809,14593409915,1020615568519,77466757647,205225908852,-60916344516,30094233813,-374934484060,184465690000,141307521660,94273800000,-113708600000
9,AAA,2022,1,1988170740182,0,0,0,-28200497873,41344677305,-440106633757,-440106633757,-44812029961,349982802317,349982802317,19540118710,-29521377130,-35822639344,0,-13913833989,19147236568,958181818,-455798729452,400000000,2045526520535,-1831645656136,0,-434758603874,-3500862895,1549911273413,77740276559,213800829722,-70099552131,12001406524,-667786704841,0,213880864399,73049588400,-228297600000
10,AAA,2021,4,1439605995924,5222727270,0,0,-54268578590,40381953881,699714129641,699714129641,56503768864,-272545129225,-272545129225,-28958205206,-37925964104,-69329100802,0,-10090061576,505415459927,6148859433,-215370152337,94080000000,2377841858974,-2364989976189,-148350075501,550679974227,-3115257469,1987170712682,81044282228,168046022335,-67544808337,68286037257,180828707016,-66000000,-135564192716,601792164250,-306563393250
11,AAA,2021,3,2214209755238,-3398132424,0,0,-27334532159,34859183964,-408163859307,-408163859307,108838407355,238726795067,238726795067,24202739590,-26536036929,-8221850904,0,-2804615540,98320925626,241818182,0,176625000000,2237713620857,-2430000886314,-100000000,-771488740139,-3115019175,1439605995924,78753243347,172279346294,-388883567943,19516676853,-677422400308,0,-192387265457,197696457750,-682618785150
12,AAA,2021,2,967769374300,3398132424,0,0,-15088533770,46419458220,204896918583,204896918583,139241195072,-333463923603,-333463923603,-6815378180,-60756317491,-2598789767,0,-29759909367,144244653423,60000000,-125855923243,7125000000,1997941393941,-2612976053148,-95860000,1247664983460,-1224602522,2214209755238,79633010142,233500858176,-198280466896,24637984105,636222694756,1082328154488,467197635281,638090743159,290445357631
13,AAA,2021,1,963717122052,0,0,0,-37329840142,39329555287,-197643910521,-197643910521,-217704055511,79793533996,79793533996,-10977933273,-25084122847,-11786630487,0,-1973501250,-201795915000,0,-59784000000,0,2150369385801,-1741869450986,0,4537771700,-485519452,967769374300,76395566067,183580704893,-31488705821,29457899935,-265616248115,63450000000,471949934815,737771615402,-941573057631
14,AAA,2020,4,238982685166,530341283,0,0,-43643100864,49315034270,-211087050521,-211087050521,-6510052353,255465748250,255465748250,5066015927,-56903309992,-16265950043,0,-2082938835,129321278406,1495454546,-136462696800,1900000000,1823295284367,-1732861991513,-3100000000,725093193256,-358756370,963717122052,76425251008,162638815973,-174076282847,37552154916,508438621996,0,87333292854,571360938636,206669053545
15,AAA,2020,3,267894557509,-350486229,0,0,-33068733758,50296867542,40684916374,40684916374,94137746461,-159945546613,-159945546613,-22898694054,-40337325036,-10464264917,0,-2123210327,91152216795,1000000000,-493700234696,38518235972,1633609487500,-2068386074474,-105571913000,-29393500680,481628337,238982685166,76145933985,192098594907,-18947631033,19450883068,-120148717501,539951500000,-396999974,659096009328,-325565980140
16,AAA,2020,2,288449896598,350486229,0,0,-42812676653,54811943210,132478815857,132478815857,64831115112,102704845314,102704845314,8207226415,-57649976417,-138893181,0,-9987935348,398793370148,1363636364,-129451214638,72274544028,1586411116803,-1658900987142,0,-19449530992,-1105808097,267894557509,67430455401,158348172396,-64265638513,27598558272,-325743030801,-20010000000,-92499870339,636105707000,-869368623314
