"Date","Price","Open","High","Low","Change %"
"10/10/2024","1.943","1.943","1.943","1.943","-2.51%"
"10/09/2024","1.993","1.993","1.993","1.993","0.00%"
"10/08/2024","1.993","1.993","1.993","1.993","0.00%"
"10/07/2024","1.993","1.993","1.993","1.993","0.05%"
"10/04/2024","1.992","1.992","1.992","1.992","-0.25%"
"10/03/2024","1.997","1.997","1.997","1.997","0.00%"
"10/02/2024","1.997","1.997","1.997","1.997","0.00%"
"10/01/2024","1.997","1.997","1.997","1.997","0.00%"
"09/30/2024","1.997","1.997","1.997","1.997","0.00%"
"09/27/2024","1.997","1.997","1.997","1.997","0.00%"
"09/26/2024","1.997","1.997","1.997","1.997","0.05%"
"09/25/2024","1.996","1.996","1.996","1.996","-0.05%"
"09/24/2024","1.997","2.001","2.001","1.997","-0.25%"
"09/23/2024","2.002","2.002","2.002","2.002","0.00%"
"09/20/2024","2.002","2.002","2.002","2.002","0.05%"
"09/19/2024","2.001","2.001","2.001","2.001","-0.25%"
"09/18/2024","2.006","2.006","2.006","2.006","0.00%"
"09/17/2024","2.006","2.009","2.009","2.006","-0.15%"
"09/16/2024","2.009","2.009","2.009","2.009","-0.05%"
"09/13/2024","2.010","2.010","2.010","2.010","0.00%"
"09/12/2024","2.010","2.010","2.010","2.010","0.00%"
"09/11/2024","2.010","2.010","2.010","2.010","0.00%"
"09/10/2024","2.010","2.010","2.010","2.010","0.00%"
"09/09/2024","2.010","2.010","2.010","2.010","0.00%"
"09/06/2024","2.010","2.010","2.010","2.010","0.00%"
"09/05/2024","2.010","2.010","2.010","2.010","0.00%"
"09/04/2024","2.010","2.010","2.010","2.010","0.00%"
"08/30/2024","2.010","2.010","2.010","2.010","0.00%"
"08/29/2024","2.010","2.010","2.010","2.010","0.00%"
"08/28/2024","2.010","2.010","2.010","2.010","0.00%"
"08/27/2024","2.010","2.010","2.010","2.010","-0.05%"
"08/26/2024","2.011","2.011","2.011","2.011","0.00%"
"08/23/2024","2.011","2.011","2.011","2.011","0.05%"
"08/22/2024","2.010","2.010","2.010","2.010","-0.79%"
"08/21/2024","2.026","2.026","2.026","2.026","0.00%"
"08/20/2024","2.026","2.026","2.026","2.026","0.00%"
"08/19/2024","2.026","2.026","2.026","2.026","-0.05%"
"08/16/2024","2.027","2.027","2.027","2.027","0.00%"
"08/15/2024","2.027","2.027","2.027","2.027","0.05%"
"08/14/2024","2.026","2.026","2.026","2.026","-0.05%"
"08/13/2024","2.027","2.027","2.027","2.027","0.00%"
"08/12/2024","2.027","2.027","2.027","2.027","0.00%"
"08/09/2024","2.027","2.027","2.027","2.027","0.00%"
"08/08/2024","2.027","2.027","2.027","2.027","0.00%"
"08/07/2024","2.027","2.027","2.027","2.027","0.00%"
