,time,open,high,low,close,volume
0,2017-08-24,743.23,749.82,742.34,747.72,33630890
1,2017-08-25,746.87,751.14,746.87,751.14,32784240
2,2017-08-28,751.59,758.02,749.2,758.02,42763860
3,2017-08-29,757.84,758.76,754.59,754.59,44549640
4,2017-08-30,756.49,764.57,755.32,764.57,34232490
5,2017-08-31,765.47,772.91,764.22,770.08,52330590
6,2017-09-01,770.97,774.76,770.39,774.06,35505600
7,2017-09-05,775.28,778.71,771.68,777.02,36892990
8,2017-09-06,776.87,777.99,772.63,776.97,36720990
9,2017-09-07,777.16,780.54,776.0,779.2,41321790
10,2017-09-08,780.62,786.85,780.18,784.74,36355220
11,2017-09-11,785.06,789.53,779.58,779.58,37682800
12,2017-09-12,777.55,783.58,775.81,782.54,40952630
13,2017-09-13,785.46,786.96,783.56,786.43,37972820
14,2017-09-14,786.82,793.16,786.82,789.41,40608490
15,2017-09-15,786.22,789.88,784.49,789.49,47588250
16,2017-09-18,792.16,795.32,789.83,793.7,44590000
17,2017-09-19,794.15,797.54,792.68,792.68,42234580
18,2017-09-20,793.93,793.98,789.43,790.48,33853130
19,2017-09-21,790.46,791.0,786.0,786.41,38420390
20,2017-09-22,786.51,791.65,785.99,789.7,37752620
21,2017-09-25,789.81,791.16,785.69,789.89,35485110
22,2017-09-26,791.03,791.05,785.24,791.05,45389610
23,2017-09-27,788.02,791.43,787.61,788.31,34118620
24,2017-09-28,788.15,795.95,788.15,790.75,44993620
25,2017-09-29,791.4,797.26,791.4,792.72,36410220
26,2017-10-02,793.64,796.03,790.37,790.7,28268530
27,2017-10-03,791.71,793.19,785.1,787.02,35763950
28,2017-10-04,786.17,795.76,786.12,795.76,30909740
29,2017-10-05,797.41,801.36,796.71,797.42,48801950
30,2017-10-06,797.82,800.73,796.23,800.42,35233530
31,2017-10-09,802.89,803.23,798.96,801.49,36338320
32,2017-10-10,800.23,805.3,798.63,805.3,38304820
33,2017-10-11,804.84,810.12,804.48,806.83,51017440
34,2017-10-12,807.63,813.21,806.65,809.6,43690510
35,2017-10-13,807.9,815.47,807.45,815.47,36085610
36,2017-10-16,815.27,817.72,811.39,811.85,43241140
37,2017-10-17,811.73,818.48,811.24,818.48,47568950
38,2017-10-18,819.36,821.29,815.06,816.84,54134480
39,2017-10-19,817.62,821.08,815.29,817.39,46206790
40,2017-10-20,816.99,821.54,813.38,813.99,47718220
41,2017-10-23,811.49,813.23,806.58,809.36,43372170
42,2017-10-24,807.6,815.24,804.43,815.24,33007760
43,2017-10-25,816.05,821.61,812.98,821.45,33404710
44,2017-10-26,820.01,825.9,815.16,822.53,38746780
45,2017-10-27,823.16,834.91,820.16,834.91,37048300
46,2017-10-30,835.33,841.32,835.33,837.52,51097930
47,2017-10-31,836.65,839.79,829.72,831.62,38090110
48,2017-11-01,832.1,835.44,831.63,835.38,47545760
49,2017-11-02,835.36,843.34,826.71,827.66,48545310
50,2017-11-03,828.44,840.04,826.59,840.04,41463180
51,2017-11-06,842.91,845.67,839.88,844.73,50114170
52,2017-11-07,846.17,850.69,842.67,846.03,48624420
53,2017-11-08,849.56,856.47,848.23,853.57,60191020
54,2017-11-09,857.26,858.93,852.06,853.05,48698660
55,2017-11-10,850.25,861.36,850.1,858.55,59483530
56,2017-11-13,861.0,868.58,861.0,868.11,56424440
57,2017-11-14,868.59,873.74,861.96,871.08,55709260
58,2017-11-15,870.85,880.72,868.75,877.58,53387930
59,2017-11-16,875.2,890.01,875.2,890.01,57892150
60,2017-11-17,890.49,897.39,882.81,887.41,53201860
61,2017-11-20,886.49,899.31,883.7,899.31,46446580
62,2017-11-21,902.76,923.57,902.76,910.54,73809320
63,2017-11-22,912.46,922.18,909.95,922.18,71917540
64,2017-11-23,926.83,933.45,916.61,922.92,68969900
65,2017-11-24,920.32,928.41,914.95,926.21,57989760
66,2017-11-27,923.8,939.36,923.0,930.9,61672700
67,2017-11-28,931.21,935.97,926.12,935.74,54896360
68,2017-11-29,938.18,946.55,934.64,946.55,67067020
69,2017-11-30,951.06,955.17,943.05,943.05,70833940
70,2017-12-01,943.08,953.22,943.08,952.46,49064220
71,2017-12-04,954.31,968.53,954.31,966.44,76804810
72,2017-12-05,968.58,970.35,944.07,944.07,80813330
73,2017-12-06,940.82,941.32,919.99,939.06,75799400
74,2017-12-07,942.07,945.52,923.23,928.74,50048760
75,2017-12-08,928.32,935.51,920.97,930.25,43797010
76,2017-12-11,928.39,928.39,908.29,908.29,49025420
77,2017-12-12,919.04,922.24,883.52,914.82,73926010
78,2017-12-13,919.58,920.38,911.01,913.33,39786810
79,2017-12-14,913.3,928.21,913.3,928.21,34120530
80,2017-12-15,925.65,933.09,925.2,926.7,61767940
81,2017-12-18,937.81,950.81,937.64,950.81,52511530
82,2017-12-19,955.99,959.33,947.24,947.62,55559460
83,2017-12-20,947.51,954.96,942.07,948.78,52767110
84,2017-12-21,944.9,953.26,936.53,936.53,50096640
85,2017-12-22,939.48,946.01,937.75,945.88,49827300
86,2017-12-25,947.06,950.64,944.77,949.28,34740270
87,2017-12-26,951.27,955.81,948.68,955.73,43576440
88,2017-12-27,957.76,962.33,955.14,958.02,65128550
89,2017-12-28,960.38,968.4,957.19,966.91,54597790
90,2017-12-29,968.28,980.47,967.2,975.52,65828140
91,2018-01-02,977.2,992.72,975.49,992.72,74433420
92,2018-01-03,996.23,1011.84,995.74,1004.66,86286030
93,2018-01-04,1007.6,1014.17,1006.96,1014.15,91542860
94,2018-01-05,1014.42,1014.42,1005.1,1007.73,86905060
95,2018-01-08,1006.25,1023.5,1000.29,1023.5,107211920
96,2018-01-09,1028.05,1040.58,1019.52,1039.64,121152560
97,2018-01-10,1040.61,1047.59,1033.54,1039.7,143073010
98,2018-01-11,1036.02,1050.23,1031.43,1047.2,92977260
99,2018-01-12,1050.08,1058.2,1044.85,1049.86,125705770
100,2018-01-15,1050.35,1063.11,1042.64,1063.11,105735110
101,2018-01-16,1056.95,1063.46,1047.9,1061.78,117057510
102,2018-01-17,1060.36,1061.49,1030.0,1030.0,109084310
103,2018-01-18,1028.39,1048.56,1013.11,1048.56,105765710
104,2018-01-19,1050.01,1062.13,1046.92,1053.47,113277900
105,2018-01-22,1059.2,1084.09,1059.19,1082.71,91783390
106,2018-01-25,1093.49,1109.98,1088.69,1095.52,174651080
107,2018-01-26,1096.09,1112.59,1088.0,1104.42,94375760
108,2018-01-29,1108.98,1118.08,1095.75,1096.78,108388270
109,2018-01-30,1087.57,1099.16,1078.98,1099.16,105160720
110,2018-01-31,1097.38,1113.37,1094.77,1095.9,104403310
111,2018-02-01,1098.3,1098.3,1076.09,1086.9,84194680
112,2018-02-02,1087.24,1090.4,1075.65,1090.4,66558440
113,2018-02-05,1081.7,1081.7,1035.02,1035.02,92445200
114,2018-02-06,1013.7,1015.56,969.01,1007.72,144851080
115,2018-02-07,1034.76,1040.23,1025.3,1030.91,64845810
116,2018-02-08,1024.13,1031.98,1013.56,1013.56,45313480
117,2018-02-09,983.6,996.77,966.78,996.77,64741560
118,2018-02-12,1001.7,1034.76,1001.7,1034.76,56577710
119,2018-02-13,1043.44,1055.86,1043.44,1054.09,52962090
