,ticker,yearReport,lengthReport,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Net Profit/Loss before tax,Provision for credit losses,Provision for credit losses,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Financial Income,Interest Expenses,Interest Expenses,Net Sales,Net Sales,Gross Profit,Gross Profit,Financial Expenses,Financial Expenses,General & Admin Expenses,General & Admin Expenses,Operating Profit/Loss,Operating Profit/Loss,Net income from associated companies,Other Income/Expenses,Cost of Sales,Selling Expenses,Selling Expenses,Sales,Sales deductions,Gain/(loss) from joint ventures,Other income,Net other income/expenses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company
0,AAA,2024,2,0,2026233763,0,2026233763,177234822276,3923958950,3923958950,-0.0029414050886950004,2784044828229,135887872408,2.2143704446370864,98092361110,98092361110,-40781649677,-40781649677,2782480085532,2782480085532,358333634998,358333634998,-53929325111,-53929325111,-76353933733,-76353933733,174365391128,174365391128,0,-1545380136,-2424146450534,-173233226618,-173233226618,2784044828229,-1564742697,21455880482,4414811284,2869431148,177234822276,-39320716105,-33386351113,-5934364992,137914106171,135887872408
1,AAA,2024,1,0,9187604597,0,9187604597,167931087561,-352690563,-352690563,-0.18042878505572832,2964878299224,134706559842,1.4994036419603567,47863280080,47863280080,-35048921226,-35048921226,2963831327623,2963831327623,331830861106,331830861106,-39801387126,-39801387126,-73583410041,-73583410041,167026639204,167026639204,0,-214707375,-2632000466517,-123010462870,-123010462870,2964878299224,-1046971601,23727758055,1119155732,904448357,167931087561,-24036923122,-26560017429,2523094307,143894164439,134706559842
2,AAA,2023,4,0,-1590401364,0,-1590401364,109937088896,2798290586,2798290586,-0.21332674928410458,2687154224910,93772934728,1.9595447545341231,67921370313,67921370313,-48476740408,-48476740408,2684578751775,2684578751775,309127301608,309127301608,-67250781564,-67250781564,-89321724866,-89321724866,107327830264,107327830264,0,-3672034674,-2375451450167,-135967900119,-135967900119,2687154224910,-2575473135,22819564892,4372115464,700080790,108027911054,-15845377690,-24597831305,8752453615,92182533364,93772934728
3,AAA,2023,3,0,4497693824,0,4497693824,127058228364,-10149087050,-10149087050,0.07290048021427414,3531352090707,99049764272,0.240196716306346,63082764650,63082764650,-46635327606,-46635327606,3529078894690,3529078894690,319749395833,319749395833,-52837104055,-52837104055,-71930869436,-71930869436,123459534117,123459534117,0,-3063556223,-3209329498857,-146527042033,-146527042033,3531352090707,-2273196017,11922389158,6662250470,3598694247,127058228364,-23510770268,-24538430487,1027660219,103547458096,99049764272
4,AAA,2023,2,0,7594394142,0,7594394142,64016674724,4527105530,4527105530,-0.3901680576180326,2792257990090,42275112576,-0.5051206854471922,61416035204,61416035204,-46607049754,-46607049754,2791313326349,2791313326349,235009172994,235009172994,-59379004371,-59379004371,-59741058059,-59741058059,61891073448,61891073448,0,-2514955640,-2556304153355,-118984474113,-118984474113,2792257990090,-944663741,3570401793,4640556916,2125601276,64016674724,-14147168006,-15813694251,1666526245,49869506718,42275112576
5,AAA,2023,1,0,9901599544,0,9901599544,79243931236,-51606850211,-51606850211,-0.1018549581975626,3617596915511,53895480338,-0.38814960790508607,47003239324,47003239324,-45134977429,-45134977429,3616712919453,3616712919453,246170483939,246170483939,-56006994655,-56006994655,-66043720520,-66043720520,76297595191,76297595191,0,-233757804,-3370542435514,-109390083352,-109390083352,3617596915511,-883996058,14564670455,3180093849,2946336045,79243931236,-15446851354,-13692553202,-1754298152,63797079882,53895480338
6,AAA,2022,4,0,-55027622097,0,-55027622097,-159939726343,72903141735,72903141735,0.0,3415845425613,-97726483611,0.0,76956511432,76956511432,-57560677981,-57560677981,3406559334287,3406559334287,34255877017,34255877017,-85428295752,-85428295752,-74282129130,-74282129130,-161340053396,-161340053396,0,-1248408201,-3372303457270,-129385434583,-129385434583,3415845425613,-9286091326,16543417620,2648735254,1400327053,-159939726343,7185620635,5919794061,1265826574,-152754105708,-97726483611
7,AAA,2022,3,0,-3248739790,0,-3248739790,104879486254,-15017803972,-15017803972,-0.03456980203690681,3291406943915,79866172011,0.2775571639168427,43749317209,43749317209,-40362653734,-40362653734,3280334653921,3280334653921,308188347323,308188347323,-61887618795,-61887618795,-58132125521,-58132125521,107593757810,107593757810,0,-4231390245,-2972146306598,-140819634222,-140819634222,3291406943915,-11072289994,16495471816,1517118689,-2714271556,104879486254,-28262054033,-28624194066,362140033,76617432221,79866172011
8,AAA,2022,2,0,7782188472,0,7782188472,114508477712,15017803972,15017803972,0.4003115689726425,4578733575653,85425095236,-0.010442531381269025,62151890682,62151890682,-35891150019,-35891150019,4574860188172,4574860188172,343832497317,343832497317,-59187504578,-59187504578,-60039573317,-60039573317,116285465571,116285465571,0,-3926631782,-4231027690855,-178910187534,-178910187534,4578733575653,-3873387481,8438343001,2149643923,-1776987859,114508477712,-21301194004,-23112399121,1811205117,93207283708,85425095236
9,AAA,2022,1,0,8401883508,0,8401883508,122916373731,0,0,0.0,4027853795475,88086043638,0.0,31625143230,31625143230,-39865290941,-39865290941,4027684398467,4027684398467,393675768916,393675768916,-50899286147,-50899286147,-54852980342,-54852980342,122181663503,122181663503,0,-273750352,-3634008629551,-213685606963,-213685606963,4027853795475,-169397008,16318624809,1008460580,734710228,122916373731,-26428446585,-26842454914,414008329,96487927146,88086043638
10,AAA,2021,4,0,9357970970,0,9357970970,96809432071,-1143794525,-1143794525,0.9809409367068366,4201845098822,60517570104,0.04871008908542097,78107573142,78107573142,-36654735524,-36654735524,4198836350021,4198836350021,380688803247,380688803247,-59979045743,-59979045743,-58090081859,-58090081859,94399397710,94399397710,0,-778912475,-3818147546774,-253505725452,-253505725452,4201845098822,-3008748801,7177874375,3188946836,2410034361,96809432071,-26933890997,-50722612194,23788721197,69875541074,60517570104
11,AAA,2021,3,0,4757945246,0,4757945246,93539946201,-4140362635,-4140362635,0.7666065202989163,3409264544303,62514754147,-0.20429462868877105,55774446901,55774446901,-32749759815,-32749759815,3407180113876,3407180113876,317756575798,317756575798,-42326671031,-42326671031,-46724789099,-46724789099,94832822064,94832822064,0,-2654405570,-3089423538078,-198261662585,-198261662585,3409264544303,-2084430427,8614922080,1361529707,-1292875863,93539946201,-26267246808,-30249410376,3982163568,67272699393,62514754147
