Year,Quarter,Minimum Efficiency,Maximum Efficiency,Average Efficiency,Number of Efficient Firms,Efficient Firms (%)
2020,2,0.10,1.00,0.33,1,1.41%
2020,3,0.03,1.00,0.30,1,1.27%
2020,4,0.06,1.00,0.24,1,1.25%
2021,1,0.07,1.00,0.32,1,1.18%
2021,2,0.08,1.00,0.45,1,1.20%
2021,3,0.07,1.00,0.24,1,1.20%
2021,4,0.05,1.00,0.35,1,1.23%
2022,1,0.06,1.00,0.34,1,1.20%
2022,2,0.27,1.00,0.52,3,3.45%
2022,3,0.13,1.00,0.46,2,2.50%
2022,4,0.16,1.00,0.58,7,9.09%
2023,1,0.07,1.00,0.37,1,1.39%
2023,2,0.06,1.00,0.45,7,8.86%
2023,3,0.22,1.00,0.52,4,5.26%
2023,4,0.15,1.00,0.45,3,4.00%
2024,1,0.27,1.00,0.47,4,5.19%
2024,2,0.13,1.00,0.41,2,2.56%
2024,3,0.17,1.00,0.49,5,6.10%
